ID,kode,NAMA ITEM DATA,Provinsi,Kabupaten,Alamat,LATITUDE,LONGITUDE,Jenis Museum,Tipe Museum,Pengelola,Foto,Pulau Jawa,Luar Jawa,Pengunjung
,,Museum Perkebunan Indonesia,Sumatera Utara,Kota Medan,Jl. Brigjen Katamso No.53 (Komp.PPKS) Medan,3.558240871,98.6885195,Museum Khusus,Tipe B,Yayasan Museum Perkebunan Indonesia,,,,19000
,,Museum Negeri Provinsi Sumatera Utara ,Sumatera Utara,Kota Medan,Jl. H. M. Joni No. 51,,,,,,,,,22000
,,Museum Kota Tebing Tinggi,Sumatera Utara,Kota Tebing Tinggi,Jl. Kotamadya,,,,,,,,,50000
,,Museum Daerah Kabupaten Langkat ,Sumatera Utara,Kabupaten Langkat,Jl. T. Amir Hamzah,3.89269719,98.42566139,Museum Umum,Tipe C,Dinas Pariwisata Dan Kebudayaan Kabupaten Langkat,,,,3000
,,Museum Pusaka Karo,Sumatera Utara,Kabupaten Karo,Jl. Perwira No 1 Kota Berastagi,3.194835519,98.50828865,Museum Umum,Tipe C,Yayasan Pusaka Karo,,,,12000
,,Museum Batak TB Silalahi Center,Sumatera Utara,Kabupaten Toba Samosir,Jl. Dr. TB Silalahi No.88,2.333418899,99.04843289,Museum Umum,Tipe B,Yayasan T.B. Silalahi,,,,2000
,,Raz Collection Museum and Gallery,Sumatera Utara,Kota Medan,Gedung Raz Plaza,,,,,,,,,3000
,,Museum Huta Bolon Simanindo ,Sumatera Utara,Kabupaten Samosir,Jl. Pelabuhan Simanindo,2.752527228,98.74414015,Museum Umum,Belum Memenuhi Standar,Yayasan Huta Bolon Simanindo,,,,5120
,,Museum Karo Lingga,Sumatera Utara,Kabupaten Karo,Jl. Tasak Telu,3.118194972,98.47518653,Museum Umum,Belum Memenuhi Standar,Yayasan Museum Karo Lingga,,,,3120
,,Museum Perjuangan TNI Kodam I,Sumatera Utara,Kota Medan,Jl. Zainul Arifin No. 8,3.584038012,98.67421872,Museum Khusus,Belum Memenuhi Standar,Bintaldam I/BB,,,,6000
,,Museum Daerah Deli Serdang,Sumatera Utara,Kabupaten Deli Serdang,Jalan Negara – Lubuk Pakam,,,,,,,,,1200
,,Museum Rumah Kelahiran Buya Hamka,Sumatera Barat,Kabupaten Agam,Jorong Tanah Sirah Nagari Sungai Batang Kecamatan Tanjung Raya,-0.352724254,100.2185534,Museum Khusus,Tipe C,,,,,400
,,Museum Tuanku Imam Bonjol,Sumatera Barat,Kabupaten Pasaman,Jl. Lintas Sumatera Bukittinggi – Medan km. 55 Bonjol Pasaman Sumatera Barat,0.00163415,100.2210697,Museum Umum,Tipe C,Dinas Pariwisata,,,,15000
,,Museum Rumah Kelahiran Bung Hatta,Sumatera Barat,Kota Bukittingi,Jl. Soekarno Hatta No. 37,,,,,,,,,14000
,,Museum Situs Lubang Tambang Mbah Soero,Sumatera Barat,Kota Sawah Lunto,Jl. Kampung Teleng Kel. Pasar,,,,,,,,,300
,,Museum Kereta Api Kota Sawahlunto,Sumatera Barat,Kota Sawah Lunto,Jl. A. Yani,,,,,,,,,11000
,,Museum Istano Basa Pagaruyung,Sumatera Barat,Kabupaten Tanah Datar,Jl. Sutan Alam Bagagarsyah,,,,,,,,,1000
,,Museum Rumah Adat nan Baanjuang,Sumatera Barat,Kota Bukittingi,Jl. Cindua Mato No. 10,-0.30044354,100.3695796,Museum Umum,Tipe C,Dinas Pendidikan Dan Kebudayaan Kota Bukittinggi,,,,40000
,,Museum Adityawarma,Sumatera Barat,Kota Padang,Jl. Diponegoro No. 10,-0.956527716,100.3562137,Museum Umum,Tipe B,Dinas Kebudayaan Provinsi Sumatera Barat,,,,17000
,,Museum Goedang Ransoem,Sumatera Barat,Kota Sawah Lunto,Jl. Abdurrahman Hakim,,,,,,,,,17000
,,Museum Sang Nila Utama dan Taman Budaya,Riau,Kota Pekanbaru,Jl. Jenderal Sudirman No. 194,0.494335011,101.4544862,Museum Umum,Tipe C,Dinas Kebudayaan Provinsi Riau,,,,798
,,Museum Budaya dan Sejarah Siak Balai Rung Sri,Riau,Kab. Siak,Jl. Sultan Ismail,,,,,,,,,800
,,Museum Tionghoa,Riau,Kabupaten Rokan Hilir,Bagan Punak Pesisir,2.65520383,100.9033115,Museum Khusus,Belum Memenuhi Kriteria Syarat,Dinas Pendidikan Dan Kebudayaan Kabupaten Rokan Hilir,,,,400
,,Museum Perjuangan Rakyat Jambi,Jambi,Kota Jambi,Jl. Sultan Agung No.12 ,-1.596263,103.606871,Museum Khusus,Tipe B,Dinas Kebudayaan Dan Pariwisata Provinsi Jambi,,,,7500
,,Museum Menara Gentala Arasy ,Jambi,Kota Jambi,Kel. Arab Melayu,,,,,,,,,3000
,,Museum Siginjei,Jambi,Kota Jambi,Jl. Urip Sumoharjo No. 01,-1.607664678,103.5928023,Museum Umum,Tipe A,Dinas Kebudayaan Dan Pariwisata Provinsi Jambi,,,,12000
,,Museum Perjuangan Subkoss Garuda Sriwijaya,Sumatera Selatan,Kota Lubuklinggau,Jalan Garuda Hitam,,,,,,,,,1200
,,Monumen Perjuangan Rakyat Sumatera Bagian Selatan / Monpera,Sumatera Selatan,Kota Palembang,Jl. Merdeka No.1,-2.97416025,104.7613928,Museum Khusus,Belum Memenuhi Standar,UPTD Pengelolaan Sarana Dan Objek Wisata Dinas Pariwisata Kota Palembang,,,,3000
,,Museum Dr. A.K. Gani ,Sumatera Selatan,Kota Palembang,Jl. Mp. Mangkunegara No. 1,-2.929796119,104.7696356,Museum Khusus,Tipe C,Yayasan H.J.R.A Masturah A.K. Gani,,,,5120
,,Museum Negeri Sumatera Selatan,Sumatera Selatan,Kota Palembang,Jl. Srijaya I,,,,,,,,,3120
,,Museum Sriwijaya,Sumatera Selatan,Kota Palembang,Jl. Syakhyakirti,-3.015032,104.734418,Museum Umum,Tipe B,Dinas Kebudayaan Dan Pariwisata Provinsi Sumatera Selatan,,,,6000
,,Museum Sultan Mahmud Badaruddin II Palembang,Sumatera Selatan,Kota Palembang,Jl. Sultan Mahmud Badaruddin II No.2,-2.989887873,104.7614226,Museum Umum,Tipe A,Dinas Kebudayaan Kota Palembang,,,,
