ID,kode,NAMA ITEM DATA,Provinsi,Kabupaten,Alamat,LATITUDE,LONGITUDE,Jenis Museum,Tipe Museum,Pengelola,Foto,Pulau Jawa,Luar Jawa,Pengunjung
33,33,Museum Olahraga Nasional,jakarta,kota jakarta timur,"Jl. Hankam Raya No.8, RT.1/RW.2, Ceger, Kec. Cipayung, Kota Jakarta Timur",-6.304085317,106.8893333,Museum Khusus,Tipe B,Kementrian Pemuda Dan Olahraga,lihat foto,,,400
34,34, Museum Pemadam Kebakaran,jakarta,jakarta timur,"Jl. Komp. TMII Pintu 3, Lubang Buaya, Kec. Cipayung",-6.294476982,106.9360618,Museum Khusus,Tipe C,Dinas Penanggulangan dan Penyelamatan Provinsi DKI Jakarta,lihat foto,,,13000
35,35, Museum Penerangan,jakarta,jakarta timur,Jl. Taman Mini Indonesia Indah,-6.299314613,106.8939319,Museum Khusus,Tipe A,Kementrian Komunikasi dan Informatika,lihat foto,,,12000
36,36,Museum Perumusan Naskah Proklamasi,jakarta,kota Jakarta Pusat,"Jl. Imam Bonjol No.1, RT.9/RW.4, Menteng, Kec. Menteng",-6.19953172,106.8351548,Museum Khusus,Tipe B,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi Republik Indonesia",lihat foto,,,300
37,37,Museum Polri,jakarta,jakarta selatan,"Jl. Trunojoyo No.3, RT.5/RW.2, Selong, Kec. Kby. Baru",-6.23929838,106.8031497,Museum Khusus,Tipe C,Museum Polisi Republik Indonesia,lihat foto,,,11000
38,38,Museum Prangko,jakarta,jakarta timur,"Jl.Taman Mini Indonesia Indah, Jalan Taman Mini Indonesia Indah",-6.303970814,106.9022768,Museum Khusus,Tipe C,PT.Pos Indonesia,lihat foto,,,10000
39,39,Museum Prasasti Jakarta,jakarta,kota jakarta Pusat,"Jl. Tanah Abang I No.1, RT.11/RW.8, Petojo Sel., Kecamatan Gambir",-6.171840101,106.8174245,Museum Khusus,Tipe C,"Unit Pengelola Museum Seni, Dinas Kebudayaan Provinsi DKI Jakarta",lihat foto,,,32000
40,40,Museum Purna Bhakti Pertiwi,jakarta,jakarta timur, Jl. Taman Mini Indonesia Indah,-6.299706257,106.8898746,Museum Khusus,Tipe C,Yayasan Harapan Kita,lihat foto,,,19000
41,41,Museum Pusaka,jakarta,jakarta timur,"Jl. Taman, Mini, Kec. Cipayung, Kota Jakarta Timur3",-6.30509674,106.8966639,Museum Khusus,Tipe C,"PT.Taman Wisata Candi Brobudur,Prambanan dan Ratu Boko",lihat foto,,,22000
42,42,Museum Sasmitaloka Pahlawan Revolusi Jenderal TNI A. Yani,jakarta,kota jakarta Pusat,"Jl. Lembang No.67, RT.11/RW.7, Menteng",-6.20395269,106.8379934,Museum Khusus,Tipe C,TNI Angkatan Darat (TNI AD),lihat foto,,,50000
43,43,Museum Satriamandala,jakarta,jakarta selatan,"Jl. Gatot Subroto No.14, RT.6/RW.1",-6.231583289,106.8202528,Museum Khusus,Belom di standarisasi,Museum Satriamandala,lihat foto,,,3000
44,44,Museum Sejarah Jakarta,jakarta,Jakarta Barat,"JL.Taman Fatahillah No.1, Pinangsia",-6.134474617,106.8104247,Museum Umum,Tipe A,Dinas Kebudayaan Provinsi DKI Jakarta,lihat foto,,,12000
45,45,Museum Seni Rupa dan Keramik,jakarta,Jakarta Barat,"Jl. Pos Kota No.2 9, RT.9/RW.7, Pinangsia",-6.133449077,106.8170411,Museum Khusus,Tipe A,Unit Penggelola Museum Seni,lihat foto,,,2000
46,46,Museum Sumpah Pemuda,jakarta,kota jakarta Pusat,"Jl. Kramat Raya No.106, RT.2/RW.9, Kwitang",-6.182814824,106.8459689,Museum Khusus,Tipe A,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi Republik Indonesia (Kemendikbudristek RI)",lihat foto,,,3000
47,47,Museum Tekstil Jakarta,jakarta,Jakarta Barat,"Jl. K.S. Tubun, Kota Bambu Sel., Kec. Palmerah",-6.187451416,106.8148009,Museum Khusus,Tipe A,Dinas Kebudayaan Provinsi DKI Jakarta,lihat foto,,,5120
48,48,Museum Timor Timur,jakarta,jakarta timur,Jl.Taman Mini Indonesia Indah,-6.30314139,106.9020584,museum khusus,Tipe C,Pemerintah Indonesia,lihat foto,,,3120
49,49,Museum Tragedi 12 Mei 1998 Universitas Trisakti,jakarta,Kota Jakarta Barat,"Jl.Tomang, Kec. Grogol petamburan",-6.167999059,106.7909749,Museum Khusus,Tipe C,"Universitas Trisakti,",lihat foto,,,6000
50,50,Museum Transportasi,jakarta,jakarta timur,Jl. Taman Mini I,-6.30410184,106.9008619,Museum Khusus,Tipe B,Kementrian Perhubungan,lihat foto,,,1200
51,51,Museum Wayang,jakarta,Jakarta Barat,"Jl.Pintu Besar Utara No.27 Pinangsia, RT.3/RW.6, Kota Tua, Kec. Taman Sari",-6.134029708,106.816788,Museum Khusus,Tipe B,"Unit Pengelola Museum Seni, Dinas ",lihat foto,,,400
