fid	Museum_ID	Museum_kod	Museum_NAM	Museum_Pro	Museum_Kab	Museum_Ala	Museum_LAT	Museum_LON	Museum_Jen	Museum_Tip	Museum_Pen	Museum_Fot	Museum_P_1	Museum_Kar
27	"27"	"27"	Museum Indonesia	Jakarta	Jakarta Timur	"Jl. Taman Mini Indonesia Indah, Ceger, Kec. Cipayung"	-6.300460132000000	106.894362500000000	Museum Khusus	Tipe B	PT Bhumi Visatanda Indonesia	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\27.jpg	25000.000000000000000	56.000000000000000
28	"28"	"28"	Museum Jenderal Besar Dr. A.H. Nasution	Jakarta	kota Jakarta Pusat	"Jl. Teuku Umar No.40, RT.1/RW.1, Gondangdi, Kec. Menteng"	-6.192950528000000	106.833286799999996	Museum Khusus	Tipe C	Dinas Sejarah TNI AD	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\28.jpg	45000.000000000000000	45.000000000000000
29	"29"	"29"	Museum Joang 45 	Jakarta	kota Jakarta Pusat	"Jl. Menteng Raya No.31, RT.01/RW.10 Kebon Sirih, Menteng,"	-6.185082794000000	106.839075100000002	Museum Khusus	Tipe C	Unit Pengelola Museum Kesejahteraan Jakarta	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\29.jpg	1200.000000000000000	34.000000000000000
30	"30"	"30"	Museum Katedral Jakarta	Jakarta	kota Jakarta Pusat	"Jl. Katedral, Ps. Baru, Kecamatan Sawah Besar"	-6.168100562000000	106.837804399999996	Museum Khusus	Tipe B	Paroki Gereja Katedral Jakarta	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\30.jpg	3120.000000000000000	23.000000000000000
31	"31"	"31"	Museum Kebangkitan Nasional	Jakarta	kota Jakarta Pusat	"Jl. Abdul Rachman Saleh No.26, Senen, Kec. Senen, Kota Jakarta Pusat"	-6.177814946000000	106.840462599999995	Museum Khusus	Tipe A	Museum Kebangkitan Nasional	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\31.jpg	6000.000000000000000	67.000000000000000
32	"32"	"32"	Museum Kehutanan “Ir. Djamaludin Suryohadikusumo	Jakarta	Jakarta Selatan	Jl.Gatot Subroto	-6.206594328000000	106.799172400000003	Museum Khusus	Tipe C	Kementrian Lingkungan Hidup dan Kehutanan	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\32.jpg	500.000000000000000	55.000000000000000
33	"33"	"33"	Museum Olahraga Nasional	jakarta	kota jakarta timur	"Jl. Hankam Raya No.8, RT.1/RW.2, Ceger, Kec. Cipayung, Kota Jakarta Timur"	-6.304085317000000	106.889333300000004	Museum Khusus	Tipe B	Kementrian Pemuda Dan Olahraga	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\33.jpg	400.000000000000000	44.000000000000000
34	"34"	"34"	Museum Pemadam Kebakaran	jakarta	jakarta timur	"Jl. Komp. TMII Pintu 3, Lubang Buaya, Kec. Cipayung"	-6.294476982000000	106.936061800000004	Museum Khusus	Tipe C	Dinas Penanggulangan dan Penyelamatan Provinsi DKI Jakarta	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\34.jpg	13000.000000000000000	33.000000000000000
35	"35"	"35"	Museum Penerangan	jakarta	jakarta timur	Jl. Taman Mini Indonesia Indah	-6.299314613000000	106.893931899999998	Museum Khusus	Tipe A	Kementrian Komunikasi dan Informatika	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\35.jpg	12000.000000000000000	44.000000000000000
36	"36"	"36"	Museum Perumusan Naskah Proklamasi	jakarta	kota Jakarta Pusat	"Jl. Imam Bonjol No.1, RT.9/RW.4, Menteng, Kec. Menteng"	-6.199531720000000	106.835154799999998	Museum Khusus	Tipe B	"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi Republik Indonesia"	D:\GIS_2022PTIKC_2522078_IKLASILAHI\img\36.jpg	300.000000000000000	55.000000000000000
